case_id,description,solution
30368,laptop swap thursday swap hi initiated needs release possible allocate thank officer tuesday pm swap hi normal policy item removed needs traced approved allocation thank kind regards analyst ext hub tuesday swap hello assign releasing reassigned going forward kind regards head ext,Hardware
30369,confluence space creation bod testing wednesday pm confluence testing dear help creation confluence testing thanks head testing colombia,Access
30370,absence schedule calendar list issues wednesday pm absence schedule calendar issues removed works wednesday pm absence schedule calendar issues dear absence schedule calendar left years ago visible rejoined removed update accordingly details thanks head testing colombia,HR Support
30371,calendar invites wednesday pm calendar invites hi hoping calendar invites invites help best administrator nj,Hardware
30372,request external hard disk wednesday pm hard disk hi temporarily hard disk kick backup material needed presentation spoken guys hand pass arrange directly size renting period december thank,Hardware
30373,staff oracle wrong wednesday pm wrong hello thank wednesday pm wrong meant wrong importance high hi setup incorrectly make default charge person number thanks,Internal Project
30374,project subtype updated wednesday pm subtype updated thanks subtype updated hello changed assign thank wednesday pm subtype updated importance high hi looks setup subtype looks make code setup completed thanks,Internal Project
30375,oracle report issue report issue hi run report invoicing shows error report rendered error administrator error invalid number let help way thank officer,HR Support
30376,access modules thursday pm starter hello thank update profile incomplete needs modules create profile looks user needs let information needed regards leader starter hello thank finally created thank bearing sees report possibility enter code let note issue tracked rd party haven received update thank understanding analyst ext hub wednesday starter hello profile starter working update thank regards leader starter hello apologies inconveniences caused advised high workload process requests create starter accountant job created role far create accounts mandatory causes future errors users existent errors bear job created thank collaboration analyst ext hub friday hello colleague attached error log advise error fixed thank help regards accountant,HR Support
30377,pas access wednesday pm hi informed joiners suitable write thank,HR Support
30378,int int newcomers unable log newcomers unable log hello recently joined issue tried connect credentials pc pc worked guess wrong problem output shows adapter suffix description intel physical preferred mask obtained thursday expires thursday default gateway restricted users output colleague users configuration adapter area disconnected suffix wireless adapter area disconnected suffix wireless adapter area disconnected suffix wireless adapter disconnected suffix adapter suffix mask default gateway adapter host suffix mask default gateway users number problem colleague thank best regards wednesday newcomers unable log hello ensure site site link advise resolves issue tried suggested link redirected attach picture redirecting link contains user denied relevant approved tried link redirected link contains session established session reference number denied policy failure meet policy requirements administrator policy reports sessions session reference number displayed session tried different pc pc link entered successfully explain redirected accessing think link solved problem thank best regards tuesday pm newcomers unable log hi looked issues having confirmed accounts fine link ensure site site link advise resolves issue thanks buttress analyst ext grid newcomers unable log hi thank responses advise information regarding require information let received update contacted kind regards analyst ext grid newcomers unable log hi sorry forgot ask exact pc moment answered best regards tuesday pm newcomers unable log hi working user located physical output similar digits connected mask gateway thanks best tuesday pm newcomers unable log hi thank response inform information await update answers questions progress kind regards analyst ext grid newcomers unable log hello user user user physical working working provide prompt users configuration adapter area disconnected suffix wireless adapter area disconnected suffix adapter disconnected suffix wireless adapter disconnected suffix adapter suffix mask default gateway users best regards tuesday pm newcomers unable log hi thank users user user physical working provide prompt kind regards analyst ext grid newcomers unable log importance high hi priority affecting scheduled deliverables thanks regards mobile newcomers unable log hello write details scenario friday got credentials installed mobile id receiver entered site changed successfully got dialog user denied relevant approved continue tried site got dialog attached session established session reference number denied policy failure meet policy requirements administrator policy reports sessions session reference number displayed session browser tried times chrome browsers result advise happens session link attach picture remains changing reference number details write pin seed details accessed remotely tried remotely thank best regards developer friday pm newcomers unable log hi advise happens session link advise details browser accessed remotely kind regards analyst ext switchboard believe important reduce impact environment ask possible print newcomers unable log hello accounts configured recently newcomers accessible going site site screen issue thanks issued companies includes vat registered registered kingdom information companies governance confidential addressee attachments viruses prior leaving responsible damages arising result virus passed arising alteration party monitor issued companies includes vat registered registered kingdom information companies governance confidential addressee attachments viruses prior leaving responsible damages arising result virus passed arising alteration party monitor issued companies includes vat registered registered kingdom information companies governance confidential addressee attachments viruses prior leaving responsible damages arising result virus passed arising alteration party monitor issued companies includes vat registered registered kingdom information companies governance confidential addressee attachments viruses prior leaving responsible damages arising result virus passed arising alteration party monitor,Hardware
30379,add project manager people working project wednesday pm add working dear add members assigned thank best regards agile annual leave,Miscellaneous
30380,access wednesday pm package hi provide package thank kind regards engineer,HR Support
30381,create confluence users project wednesday pm create confluence users dear create confluence users thank best regards agile annual leave,Access
30382,confluence account space accounts created wednesday pm confluence accounts created hi provide confluence colleagues confluence thank,Access
30383,license request shared team wednesday pm create shared location shared hello accounts provided policy order assign licenses users assign regards technician wednesday pm create shared location shared hi receive drive accounts provided concern policy sensible policy permission create thanks create shared location shared hello unfortunately provide shared folder requested quota propose drive provide disk lot collaborative tools agree order receive let regards technician create shared location shared hi shared location created store share files aiming store videos sessions offer bigger quota available additionally believe facilitate collaboration shared members rights shared location thanks,Storage
30384,access wednesday pm hello best regards lead twitter,HR Support
30385,access wednesday pm hello allow write location urgent troubleshoot problem location thanks senior engineer,HR Support
30386,monitor request wednesday pm monitor dear think ports mouse headset mobile testing change old monitor thanks best regards technician ext wednesday pm monitor hi items withdrawn traced kindly submit approved hardware allocation thank kind regards analyst ext hub wednesday monitor dear multiple peripherals related activities sufficient available ports available pro context kindly asking provide monitor activated ports thanks,Hardware
30387,license request visual studio wednesday pm visual studio licence dear installed visual studio licence details status days trial period thanks kind regards engineer,Access
30388,account confluence hi provide material wanted provide confluence site thanks head information senior,Access
30389,access card bucharest wednesday pm work hello approved leader wednesday pm work hello work starting months period followings area monitor cable building badge id added leader thanks kind regards cr consultant,HR Support
30390,license request visual studio wednesday pm license vs dear installing visual studio license provide license details regards engineer,Access
30391,provide access following link wednesday pm provide link history forms history view cd ribbon best regards digital,HR Support
30392,opportunity sow sustaining work node upgrade approved wednesday pm opportunity sow sustaining work node upgrade approved dear help couple things opportunity sow sustaining work node upgrade received update update states opportunity approved status says approved pending thanks officer wednesday opportunity sow sustaining work node upgrade approved hi received bit surprised haven receiving submitted head understand come past changed thanks date wednesday opportunity sow sustaining work node upgrade approved dear opportunity sow sustaining work node upgrade approved persons listed table ready converted contract make conversion log link opportunity id approver response comments response date approved approved head approved summary opportunity opportunity sow sustaining work node upgrade entity date duration months opportunity estimated thank registered number registered old broad street kingdom provide clients subsidiaries separate entity liability,Miscellaneous
30393,license request wednesday pm license hello allocate license thank test consultant mob,Access
30394,create rules wednesday pm log requests hello log requests order implement tasks described externalize creating records suggested platform platform creating rules approved resources externalization let information needed thank best regards senior engineer,Access
30395,confluence access wednesday pm confluence dear create confluence thank test lead holiday sept,Access
30396,eel wednesday pm eel hi sort regards wednesday pm eel hello requested bellow attempts treat thanks best regards engineer consider environment print wednesday eel hi informed issue described completed bellow rules valid anymore rule canceled unknown reasons restored yesterday escalating regards developer wednesday eel hello machine old eel moved continuous luck help thanks regards engineer,Hardware
30397,access wednesday pm hello assist providing number thank developer registered number registered old broad street kingdom provide clients subsidiaries separate entity,Hardware
30398,active contracts wednesday pm active contracts hi links contracts executed finished contract id contract id baa let inactive mention inactive best regards officer registered st floor registration vat social,Miscellaneous
30399,new starter access card enabling bucharest wednesday hello va ne date administration officer,HR Support
30400,ticket wednesday pm dear help custom creating issue want update ones possibility priority added high medium low technical complexity high medium low uncertainty high medium low thanks mob,Miscellaneous
30401,confluence access wednesday pm confluence hi confluence thanks wednesday pm confluence hello diligence thank presentation pages lot activities effort attached confluence accounts appropriate measures accounts created contribute feedback content today members attached write thank senior analyst,Access
30402,account internal audit account pm dear kindly advise progress head hi add thanks little,Access
30403,new project code pas wednesday pm codes inquiries hi correction code clients single code code invoice cheers wednesday pm codes inquiries hi codes invoice clients setup excels cheers,Internal Project
30404,absence schemes wednesday pm absence schemes thank regards wednesday pm absence schemes hi attached file completed absence public holidays work patterns schemes information usage hi log thank kind regards analyst absence schemes absence allowance public holidays si work patterns si ca se va maine si update cat excel kind regards analyst,Hardware
30405,set ports wednesday pm switch hi log queue best regards engineer wednesday pm switch si thanks,Hardware
30406,remove support java service wednesday pm hello receive mails thank,Miscellaneous
30407,new confluence space wednesday pm confluence hi confluence client create membership thank regards officer ext zone,Access
30408,stere wednesday greetings purchased requested supports needs tickets install help receipts search purchase order days order receive goods close purchase procedure attached screen capture help thank administrator phone,Purchase
30409,peripherals monitor extension cord wednesday pm peripherals dear changed location tower monitor remained monitor workstation extension cord near work thank regards tester,Hardware
30410,user creation sonar wednesday pm user creation sonar happens mails missed permissions thank wednesday user creation sonar hi apologies person requires sonar sonar thank head wednesday user creation sonar hello apologize late response high work load unable complete sooner kindly note created members sonar resource log credentials issues changes remedy kind regards analyst ext hub tuesday pm logged user creation sonar hello updates regarding regards thursday pm logged user creation sonar help dear thank contacting endeavour resolution query timely manner assistance entered details reference number summary user creation sonar priority priority resolution target date description thursday hello add sonar marked color sonar created regarding profiles choose profile choosing configuration profiles attached existent profiles agrees certain requirements identify rules custom profile regards thursday hi confirming ideally sonar reports individuals possible ask individuals elevated permissions ability define profiles thank wednesday pm hi replicated job sonar reports steps job job framework sonar job framework sonar sonar job changed git user reusable git sources pulled instead maven build step goals changed deploy number build number clean compile number build number maven goals getting skipping sonar analysis bad build status failure added step analysis maven pushes reports sonar sonar reports sp sonar dashboard index granted view sonar reports noticed late written parameters nexus repository build deploy maven goal artifacts pushed deleted nexus sorry added profiles widgets sonar help unblock reusable ad known issue regards wednesday pm hello assist regards analyst ext hub wednesday pm sonar hi think details understand needed expectation push sonar sonar create push update additional metrics subsequent pushes push assign permissions assumptions good provide user guide job integrate sonar thanks head wednesday sonar hello advise ran successfully sonar regards analyst ext hub tuesday pm sonar hello link framework thank lead tuesday sonar hello note granted generic sonar log framework sonar ran successfully sonar maybe provide link sonar hold awaiting response regards analyst ext hub friday sonar hello understand steps sonar sp sonar sessions authentication failed enter credentials hand let thank lead wednesday sonar hello kindly attached guide advise steps integrating sonar completed framework link created slightly different steps taken sonar pm provide details appears sonar create needed updated configuration plan exists tracking purposes looking forward hearing thank regards analyst ext hub wednesday assigned hello advised record number assigned review details appropriate action summary requested item details null choose template applicable provide short description sonar details user provide link updated aims platform connect main app called framework sonar sonar user says authentication fails help sonar link forms sites procedures view add requested location link kind regards ref msg discuss priority add information query track progress link member shortly progress query kind regards ext ref msg,Access
30411,add bogota meeting rooms extensions wednesday add meeting rooms extensions hello extensions meeting rooms location meeting room meeting room floor extension meeting room la meeting room floor extension meeting room andes meeting room floor extension thank kind regards engineer,Hardware
30412,visual studio license wednesday visual studio license dear installing visual studio license provide best regards tester,Access
30413,oracle profile profile hello amend profile enable compile location currently profile allow make example explanations required let consultant,HR Support
30414,service question question hello question clone existing configuration item thanks senior infrastructure consultant,Access
30415,sow approval panel sow panel hi mobile date sow panel hello advise input thanks analyst ext hub sow panel sow release july wednesday sow panel hello contract sow ask thank lot lead wednesday sow panel hi let details wednesday sow panel hello provide details contract log best regards lead wednesday sow panel investigate wrote hi highlighted attention contract approved executed head advise thanks upcoming holiday october floor blvd district,Miscellaneous
30416,notification works thursday pm electric la la ca thursday pm electric se va ca tower va se si engineer ext electric thursday pm electric hi informed possibility experience short outages adjust schedule communicate accordingly thank thursday pm electric la ne ca fie ca va friday pm fwd electric electric client red si ne pot ii la site sec respect natural,Hardware
30417,permission wednesday pm permission hi help giving noticed permission contract work care urgent thank communication specialist,Hardware
30418,explorer issue trying access favorites links wednesday pm explorer issue favorites links hi problem solved assist tuesday pm explorer issue favorites links hi problem sorted thanks upcoming holiday october floor blvd district registered number registered old broad street kingdom provide clients subsidiaries separate entity liability,Hardware
30419,net wednesday pm hi log queue best regards engineer wednesday cum ne la cat legate aspect blvd note holiday tuesday registered number registered old broad street kingdom provide clients subsidiaries separate entity liability,Hardware
30420,create project job oracle hello help creation job officer grade senior technician thank best regards,Internal Project
30421,software needed visual studio wednesday software needed dear license visual studio license order complete configuration working environment configuration tools best regards tester,Access
30422,leaver form miller assistance needed tuesday pm leaver form hi visibility options form provides added advise thank administration officer tuesday pm leaver form hi leaver form running problems member work location working maps gives options offices relevant filling getting error location cheers production editorial consultant leaver form submit leaver form registered number registered old broad street kingdom provide clients subsidiaries,HR Support
30423,update employees location oracle wednesday pm suffice thank treat best effort hello far haven performed updates concerning update location mentioned location joining opening transfers checked location centre extract report employees log perform change going update alright concerns let best regards analyst ext hub tuesday pm believe locations uploaded reflected kind regards tuesday pm idea imagine went wrong maybe maybe remembers old location thank administrator phone tuesday pm better way correctly grab locations future requests happening relatively nasty attached way maybe help thank administrator phone tuesday pm hi guys best regards engineer ext date tuesday hi purchased log allocate item receipts received good attached thank administrator phone,Hardware
30424,remove ms security fwd hi thanks galaxy date hello got regarding hosting record pointing shows received dianthus attached bellow advise solve issue thank best regards engineer tuesday pm chief officer transforming hi guys believe tuesday pm chief officer transforming hi role chief officer developing rapidly predict annual chief officer returns november learn developing strategies governance join industry leaders help leverage highlight opportunities chief officer chief architect head head strategic head science head governance architect head commercial insights passes available bird rates pass price information rates directly best regards event update preferences link,Hardware
30425,extensions cords project staff building floor wednesday extensions cords building floor importance high dear extensions cords zone floor thank best regards agile annual leave,HR Support
30426,ga ga purchased finally memory needs install kindly asking allocate dear process complete receipts good purchase order days attached print screen thank administrator phone,Purchase
30427,new project code request oracle nationwide pre sales tuesday pm setup form nationwide pre attached form,Internal Project
30428,software needed software needed hello note visual studio license key thanks tester,Access
30429,leadership list wednesday hi add thanks head hi add help lot keeping date things easier thank head,Miscellaneous
30430,new project wednesday hello add issue type called covered complete screen options order unit applicable mandatory complete screen press complete button select different screen referring thank analyst,Hardware
30431,list new owner hello replace owner kind regards,Miscellaneous
30432,wrong profile created tuesday pm wrong profile created dear make profile marked thanks head testing colombia,Miscellaneous
30433,oracle access project management functionality functionality hi functionality manage costs extract costs today treat high priority thank,HR Support
30434,added com wednesday added hello add thank,Miscellaneous
30435,access request site site requesting links site manage setting site note site site site provides central storage collaboration information ideas site tool collaboration tool communication meeting tool decision making site helps groups work teams social groups share information work example site help coordinate calendars schedules discuss ideas review proposals share information touch sites dynamic interactive members site contribute ideas content comment contribute,Hardware
30436,add list add hi approve thanks ext mob,Miscellaneous
30437,provide access pas provide hi provide change thank help kind regards officer,HR Support
30438,temporary laptop tuesday pm hello log assignment given tomorrow thank great engineer ext,Hardware
30439,project naming naming hi incorrectly named alternatively possible rename existing costs existing make job lot easier process attached setup thanks managing director mobile,Miscellaneous
30440,access accounts payable intercompany accounting oracle tuesday pm accounts payable intercompany country tuesday pm accounts payable intercompany hello provide information visibility thank tuesday pm accounts payable intercompany hi colleague module intercompany doing manually needs thank country,Access
30441,reports oracle tuesday pm reports dear help creating reports accessible heads logging particular greater alignment individuals log logging months available let questions thanks head registered number registered old broad street kingdom provide clients subsidiaries separate entity,Hardware
30442,access open tuesday pm hi resources thanks regards,HR Support
30443,add new member admin telephony path tuesday pm add member telephony path dear help telephony path extension requested removed clients paths mean path path path ooh path let details needed thanks,Miscellaneous
30444,pas access tuesday pm hi approved consider urgent tuesday pm hi kind reminder thank wednesday pm hi forms thank officer floor blvd district,HR Support
30445,add tuesday pm results forecasting importance high hi add mailing lists thank officer tuesday pm results forecasting importance high dears possible add mailing lists currently getting mails fwd understand,Miscellaneous
30446,pas access tuesday pm hi permissions thanks senior,HR Support
30447,new code oracle tuesday pm code hi kindly ask create code named pre change existing code pre pre thank floor blvd district,Internal Project
30448,urgent site tuesday pm urgent site importance high hi setup fast site old order highjacked growth programme setup site old file structure write care setting copy information old site pressure release finish migration mid thanks unit mobile mobile,Hardware
30449,camera video tuesday pm camera video camera tuesday pm camera video la camera video la floor blvd district,Hardware
30450,document purchase order requisition implemented tuesday pm document purchase order requisition implemented dear purchased log installation kind regards administrator,Purchase
30451,oracle development tuesday pm hello looking costs noticed update rights regards senior,HR Support
30452,import contacts ad checked wednesday pm import ad hello informed imported ad thanks analyst,Miscellaneous
30453,document purchase order requisition implemented document purchase order requisition implemented dear purchased monitor log installation kind regards administrator thursday pm document purchase order requisition implemented task application document purchase order requisition implemented details assignee assigned date expiration date task number sold entity order buyer ordered approximately nonrecoverable tax justification order details supplier computer supplier site site location supplier order description note supplier requisitioning requisition requester cost center attachments po,Purchase
30454,connect connect hello assistance downloading connect connect client thanks,Hardware
30455,req incorrect route tuesday pm req incorrect route hello investigate requisition went raised code route thank administrator phone st,Hardware
30456,approver tuesday pm approver hi guys unit approver replace thank vacation bet head registered number registered old broad street kingdom provide clients subsidiaries separate entity liability,Miscellaneous
30457,oracle purchasing wednesday hello order purchase requests transform po option application assign buyer rights thank content,Purchase
30458,tuesday pm hi purchased unfortunately mistake kindly asking bubble envelope log install additional memory process completed receipts search order number proceed receive good attached screen capture receive memory thank administrator phone,Purchase
30459,access issue tuesday test automation lead hi got confluence working right help manner working thanks automation lead friday july pm test automation lead hi taking role test automation lead order finish handoff process things help right needed things licence confluence conf added groups write installed test practices thanks registered number registered old broad street kingdom provide clients subsidiaries separate entity,Access
30460,display information update exchange tuesday pm hello updated reflect job title issues let kind regards administration officer tuesday pm importance high hello advise appears accountant thank analyst community builder ext hub tuesday importance high registered number registered old broad street kingdom provide clients subsidiaries separate entity,Hardware
30461,new project code pas tuesday pm code hi attached code thank officer registered st floor registration vat social,Internal Project
30462,access tuesday pm dear board work client thank senior test lead,HR Support
30463,access request tuesday pm library requesting library links library manage setting library write working mcdonald response note site site site provides central storage collaboration information ideas site tool collaboration tool communication meeting tool decision making site helps groups work teams social groups share information work example site help coordinate calendars schedules discuss ideas review proposals share information touch sites dynamic interactive members site contribute ideas content comment contribute,Storage
30464,access tuesday pm hi write regards,HR Support
30465,access com mailbox tuesday pm dear tester provide mailbox regards tester,Storage
30466,access request tuesday pm site requesting links site manage setting site write note site site site provides central storage collaboration information ideas site tool collaboration tool communication meeting tool decision making site helps groups work teams social groups share information work example site help coordinate calendars schedules discuss ideas review proposals share information touch sites dynamic interactive members site contribute ideas content comment contribute,Miscellaneous
30467,meeting rooms booking changes tuesday pm meeting rooms booking changes importance high hi informed changes floor cleared free booking currently secured storage room available booking secured area reserved thank updating meeting rooms booking changes possible regards blvd floor,Hardware
30468,cable needed hello needed cables docking station picked floor order track requests best regards,Hardware
30469,hi purchased requested upgraded log tickets receipts section receive goods searching order days attached picture thank administrator phone,Purchase
30470,add merci senior developer,Miscellaneous
30471,add new team member tuesday add member hi add member best regards,Miscellaneous
30472,remove team member tuesday member hi member reason modification left best regards,Miscellaneous
30473,view installation tuesday pm view installation hello help view installation thank kind regards officer,Purchase
30474,new intern oracle tuesday update interns regular plan record leave days hello attached starter forms interns let regards,HR Support
30475,information tuesday pm information hello integrate functionality map feature key persons supporting preferably developers specify technical thanks developer,Hardware
30476,activation code activation code hi activation code idea thanks kind regards tester,Internal Project
30477,secure area tower access audit tuesday pm secure area tower hi provide possible moment secure area tower thank officer,HR Support
30478,annual leave approver tuesday pm annual leave approver hi fine cover says thanks annual leave approver hello submitted leave requests days noticed currently pending previously left approve leave approvers accounts assigned gets permanent replacement appointed ask approver interim approve leave requests working backup approver work let okay leave beginning approvals assist days appreciated thanks kind regards,HR Support
30479,oracle fusion change intra tuesday pm proposal hi teams assist intra starting hi log tickets thank kind regards analyst proposal advise code starting thanks proposal hi code phase date proposal code intra code code suggest change mapping needed thoughts thanks officer friday pm proposal hi code intra book working allocate budget thank friday pm proposal hi recently approved budget create codes attached form code needs completion needs meetings ongoing basis going forward status portfolio moment let questions form thank officer friday proposal enquired given spend approve phase based budget submitted best proposal mentioned note complications availability holiday tomorrow leave days friday position main required money real money going talk best way work teams prevent pulled commercial work work solution hopefully late expect work interrupted talked today understands position discuss join return meantime continue work thanks effort perseverance proposal thank clarifications sorry information work agree crucial launch said confluence paying finished second phase let additional order make decision thank best date tuesday proposal thank thanks clarifications days note say phase tentative specified critical going budgets constraints regards head tuesday pm proposal thanks clarifies money unfortunately leave today days catch holiday progressed proposal hello clarifications requested great agree approach choose today worked implementing requests budget allocated cover effort shows budget allocated exceeded july proposal covers work needed launch named phase document tasks implement design structure defined second locations sectors units hub fix ongoing issues active directory sync app infrastructure issue examples enable flow editing rights site owners stable fix infrastructure problems note present tasks progress impossible way site looks moment forecast release date sept cover phase tasks assist transferring content old left merger implement structure design changes fix bugs raised content upload site owners overall changes code structure design requested site owners phase offer cover work required confluence tentative come supplementary option budget sept attached cover tasks work budget requested site owners migration old bugs triage budget pm po required minor code changes site owners theoretically cover tasks offering application availability tasks suggested minimum sept ideally budget allocated tester note choosing sept option cover tasks noted phase noted forward decision thank tuesday proposal folks needed key piece information critical work appeared covered wanted understand needed clarity holiday tomorrow sept realistically agree today suggest proposal hello thank proposal budget discussed going urgent budget changes context aspects clarified needed days blocking launch recommend optional perspective added backlog details clarified proposal review best wishes officer thursday pm proposal dear colleagues application question clarification details explanations hesitate kindly ask feedback possible thank best,Hardware
30480,po tuesday pm po hello purchased wired keyboard black log replenishment thanks administrator phone st,Purchase
30481,new purchase po tuesday purchase po bun mobile date purchase po dear purchased stand tv mobil log installation advise tag item kind regards administrator,Purchase
30482,confirmation reports projects confirmation reports hello reopened client reports kind regards application developer,Miscellaneous
30483,new purchase po tuesday pm purchase po hi added product tag kind regards administrator tuesday purchase po dear purchased stand tv mobil log installation advise tag item kind regards administrator,Purchase
30484,account tuesday pm hi create professional subscription thanks lead,Access
30485,new starter architect note date wednesday greatly appreciate prompt response kind regards planning officer architect hi complete starter form attached touch questions regards architect writing regarding issue complete submit attached form asap date wednesday date months later kind regards planning officer,HR Support
30486,add new status ready testing new project intra add status ready testing intra dear proceed add status ready testing intra best regards senior software developer,Miscellaneous
30487,create shared location shared team create shared location shared hi shared location created store share files aiming store videos sessions offer bigger quota available additionally believe facilitate collaboration shared members rights shared location thanks,Storage
30488,charger replacement charger replacement dear charger working ask replacement charger thank,Hardware
30489,access project tuesday hi regards design lead ext,HR Support
30490,permissions issues tuesday permissions issues hi permissions folder granted permission couple months wrong upload file save file temp file created delete permissions let thanks,Storage
30491,notification decommissioning tuesday decommissioning hello log mentioned summary forward form filled information mind needs prior planned outage given decommissioning weeks follow prior thank,Hardware
30492,add requested pm pm pm pm mini care site pm si guest pot pm device la pm la guest merge pm la pm site pm pot pm si updates pm pm pm sn pm la pm pm poi ca ti agile innovative pm pm user si pm si tau si stresses pm user si mea merge pm ca pm inca site pm environment pm edited pm si fie pm exact pm user tau la si guest care ti ca site ca,Hardware
30493,service shutdown tuesday shutdown hello permanently stop instance permanent notice thank senior engineer client,Access
30494,user access user hi level regards,Access
30495,document purchase order requisition implemented tuesday document purchase order requisition implemented dear purchased log installation kind regards administrator friday pm document purchase order requisition implemented task application document purchase order requisition implemented details assignee assigned date expiration date task number sold entity order buyer ordered approximately nonrecoverable tax justification order details supplier intend computer supplier site site location supplier order description note supplier requisitioning requisition requester cost center attachments po registered number registered old broad street kingdom provide clients subsidiaries separate leg,Purchase
30496,account configuration tuesday configuration hello guys change permissions advised mirroring permissions let details needed thank great ahead,Access
30497,cable tuesday cable dear provide cable thanks,Hardware
30498,document purchase order requisition implemented tuesday document purchase order requisition implemented dear purchased log installation kind regards administrator tuesday pm document purchase order requisition implemented task application document purchase order requisition implemented details assignee assigned date expiration date task number sold entity order buyer ordered approximately nonrecoverable tax justification order details supplier computer supplier site site location supplier order description note supplier requisitioning requisition requester cost center attachments po registered number registered old broad street kingdom provide clients subsidiaries separate entity,Purchase
30499,access share point debtors share debtors hi path debtors restrict thank senior accountant,Storage
30500,upgrade tuesday upgrade date upgrade hello advised update version version assets highly critical perform upgrade based availability order avoid virus attacks latest virus database available order update follow steps detailed guide software center searching software center search menu best endpoint agent install selected wait installation status installed reboot computer icons newly installed endpoint tools note update process lose approximately minutes questions encounter difficulties upgrading hesitate thank kind regards ext hub,Administrative rights
30501,new starter access card enabling tuesday hello regards lead pm hello return appreciate possible close date thank administration officer,HR Support
30502,leaver mobile phone tuesday leaver mobile phone hi mobile subscription plan available note mailbox receive messages,Hardware
30503,addresses tuesday addresses hi add addresses owner similar thanks tuesday addresses owner developer,Miscellaneous
30504,card verification newcomer employee tuesday card verification newcomer hello colleague card verified officer annual leave usually did task verification verify advise turn help thanks developer,Access
30505,new starter access card enabling bucharest tuesday hello attached order assign equipment create ad credentials questions let thank blvd floor district tuesday hello va ne date administration officer registered number registered old broad street kingdom provide clients subsidiaries separate entity,HR Support
30506,agents visible dashboard contact center client tuesday agents visible dashboard center client hello help dashboard agent shift thanks leader registered number registered old broad street kingdom provide clients subsidiaries separate entity,Hardware
30507,card pm card card anterior ca ca,Access
30508,error pm dear error delete anymore thanks,HR Support
30509,access unit forecast required tuesday unit forecast required approved level rights thanks pm unit forecast required dear head testing unit forecast assist kind regards test consultant registered number registered old broad street kingdom provide clients subsidiaries separate entity,Hardware
30510,press site site adjustment new data centre pm press site site adjustment centre hi make adjustments existing site site offices note forward action thanks client centre hi attached client profile centre pass client ask feed issues intend switch regarding site site terminates exiting centre slightly period centre centre site site networking route link questions let regards infrastructure administrator leeds whitehall road leeds,Hardware
30511,reset account password tuesday pm hello id regards registered number registered old broad street kingdom provide clients subsidiaries separate entity liability,Access
30512,document purchase order requisition implemented pm document purchase order requisition implemented dear purchased notebook bag log installation kind regards administrator,Purchase
30513,document purchase order requisition implemented pm document purchase order requisition implemented dear purchased apple thunderbolt gigabit adapter apple mini adapter mb log installation kind regards administrator,Purchase
30514,new alias list pm alias hi create aliases rights add let information thanks design lead,Miscellaneous
30515,client confirmation issue pm client confirmation issue hello log adjustment required clients kind regards application developer,Hardware
30516,annual adjustment users pm annual adjustment users hello generic users annual adjustment moved kind regards application developer,Miscellaneous
30517,access request list library pm library requesting library links library manage setting library note site,Storage
30518,access request site pm site requesting links site manage setting site note site,Hardware
30519,laptop needed today tuesday needed today hi today presentation pm let thank senior tester,Hardware
30520,new starter new pm starter form complete hi help completed form joining ny thank administration officer,HR Support
30521,new purchase po pm purchase po dear purchased apple pro retina log installation kind regards administrator,Purchase
30522,mobile phone returned pm mobile phone returned hello currently mobile phone return assume terms assigning device appropriate thank,Hardware
30523,monitor pm monitor hi working debug mobile devices cables working ports busy mouse receiver headset hub provide monitor integrated hub,Hardware
30524,shared folder urgent request pm shared folder urgent hi priority thanks shared folder urgent pm shared folder urgent hi help create shared folder persons asap thank,Storage
30525,assist pm monitor hello thanks watched video video option browse catalog let way initiate thanks pm monitor hello advised order needed monitor purchase approved log monitor installed short video tutorial make log assist let best regards analyst ext hub monitor hi make monitor thanks,Hardware
30526,oracle roles pm roles hi kindly help requester preparer roles entities thanks kind regards,HR Support
30527,printer problems pm printer problems successfully resolved problem thank printer problems hello issues printing waiting print help advise asap think colleagues similar issues thank,Administrative rights
30528,send permission com pm permission hello dear colleague permission mailbox help needed permissions thanks test analyst ext pm undeliverable test did reach intended test pm recipient reached pm later administrator permission specified user error,Access
30529,monitor plus pm monitor plus hi log queue custody monitor best regards engineer pm monitor plus si monitor se,Hardware
30530,access pm dear kindly advise progress head,HR Support
30531,laptop delegation purpose pm delegation purpose hi delegation period weeks starting friday visual studio installed licenses possible sooner thursday code thanks senior developer,Access
30532,license pm license hi provide license ultimate edition kind regards developer,Access
30533,people access secure area pm secure area hi provide possible moment secure area thank officer,HR Support
30534,notification upgrade upgrade,Administrative rights
30535,reachable,HR Support
